menu1,menu2,left1,top1,left2,top2,hori,vert,left1pc,top1pc,left2pc,top2pc
Logo,,2,25,,,443,807,0.451467269,3.097893432,,
Logo,Product Version,2,25,83,0,443,807,0.451467269,3.097893432,18.73589165,0
Logo,Documentation,2,25,83,75,443,807,0.451467269,3.097893432,18.73589165,9.293680297
Logo,Customer Portal,2,25,83,150,443,807,0.451467269,3.097893432,18.73589165,18.58736059
Logo,Contact Support,2,25,83,237,443,807,0.451467269,3.097893432,18.73589165,29.36802974
Logo,Logout,2,25,83,289,443,807,0.451467269,3.097893432,18.73589165,35.81164808
Dashboard,,2,75,,,443,807,0.451467269,9.293680297,,
Dashboard,Site Analytics,2,75,83,123,443,807,0.451467269,9.293680297,18.73589165,15.24163569
Content,,2,143.75,,,443,807,0.451467269,17.81288724,,
Content,Assets,2,143.75,83,193,443,807,0.451467269,17.81288724,18.73589165,23.9157373
Content,Pages,2,143.75,83,230,443,807,0.451467269,17.81288724,18.73589165,28.50061958
Content,Forms,2,143.75,83,267,443,807,0.451467269,17.81288724,18.73589165,33.08550186
Content,Content Library,2,143.75,83,304,443,807,0.451467269,17.81288724,18.73589165,37.67038414
Content,Recycle Bin,2,143.75,83,341,443,807,0.451467269,17.81288724,18.73589165,42.25526642
Manage,,2,212.5,,,443,807,0.451467269,26.33209418,,
Manage,Users,2,212.5,83,250,443,807,0.451467269,26.33209418,18.73589165,30.97893432
Manage,Templates,2,212.5,83,290,443,807,0.451467269,26.33209418,18.73589165,35.93556382
Page Analytics,,2,281.25,,,443,807,0.451467269,34.85130112,,
Page Analytics,Current Page,2,281.25,83,315,443,807,0.451467269,34.85130112,18.73589165,39.03345725
Page Analytics,Total Page Views,2,281.25,83,355,443,807,0.451467269,34.85130112,18.73589165,43.99008674
Page Analytics,Average Time on Page,2,281.25,83,395,443,807,0.451467269,34.85130112,18.73589165,48.94671623
Page Analytics,Bounce Rate,2,281.25,83,435,443,807,0.451467269,34.85130112,18.73589165,53.90334572
Settings,,2,350,,,443,807,0.451467269,43.37050805,,
Settings,Workflow,2,350,83,397,443,807,0.451467269,43.37050805,18.73589165,49.19454771
Settings,Connectors,2,350,83,434,443,807,0.451467269,43.37050805,18.73589165,53.77942999
